__typename,advice,cons,countHelpful,employer,employerResponses,featured,hasEmployerResponse,isCurrentJob,jobTitle,lengthOfEmployment,location,pros,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingDiversityAndInclusion,ratingOverall,ratingRecommendToFriend,ratingSeniorLeadership,ratingWorkLifeBalance,reviewDateTime,reviewId,summary
EmployerReviewRG,"Stop micromanaging everything, train people properly and keep them for a long time, stop constantly hiring new and untrained crew, set financial incentives, set incentives by improving housing conditions, create a positive working environment by allowing extra days off and granting more freedom for employees e.g. don't send engineers away from their families for extended periods but rather employ more engineers and send the new ones away and keep senior ones around, make Susi Air a place where people enjoy working and don't feel like an actual slave. Say thank you once in a while with words and actions, make employees feel appreciated and stop treating them like expendable cattle. Multiple engineers and pilots resigned after 12-14 years respectively and there was just a standard response from the company. It's really a shame Susi Air could be such a great company. Let people make decisions who actually know about aviation and stop squeezing out every last rupiah for the day just to create deeper and heavier problems down the road tomorrow. Hand over management to professionals!","Management control is on another level, micromanaged, everything needs to be approved, old fleet, low on personnel (maintenance and pilots), constant influx of untrained ground crew which increases workload, low standard of training in the company puts high workload on training on us when they get here, tiring, working max hours, no thank you no benefits, not 13th salary, expecting to work more than what your contract says, get less time off, expect to work extra to fulfill management roles, no office days granted, working 6 days a week, getting sick regularly, getting regular phone calls from management demanding extra stuff but not thank yous but rather repercussions if you don't do it, every little thing needs approval by different levels of management which will take days and is impractical in case of electrical outages, spare parts for aircraft, fixing of A/C etc. it doesn't work like that in the real world, if handymen don't get paid they won't show up next time",3,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Pilot'},4,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","High hours, good to gain experience, challenging environment, good training standard, rotation of copilots",NEGATIVE,3.0,,1.0,1,4,2,NEGATIVE,1.0,1.0,2024-12-24T20:55:31.283,93885460,Wrkg with untr. newbs low sal. bad vibe at wrk place due unfair trmnt by sen. mngmt incl yelling high demands + control.
EmployerReviewRG,"Unfortunately, no matter how good the advice is, if this family company doesnâ€™t make significant improvements, sooner or later, this dynasty will crumble.","Without realizing it, this office hires a lot of people as employees but also treats them like 'Maids'. They use the word ""please"" as a cover but force employees to work overtime and serve the owner in hosting guests. The tasks range from being a waiter, washing dishes, to doing so-called ""beach clean up"" which are actually cleaning the yard of the owner's beachfront villa.

Local employees are treated poorly and paid below standard, all while the owner and their family live a lavish lifestyle. The Love-Bird are equally unreasonable, constantly yelling without listening to the reality on the ground.

Itâ€™s a stark contrast to expat employees who received special treatment. Then there are the Management Trainees acting arrogant. One MT with the highest salary is also a director of a shell company created by this business. Be carefulâ€”theyâ€™ve set up many shell companies instead of employing people in their main office.",6,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Management Trainee'},2,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",There's nothing that makes me want to stay. Iâ€™ve already given my best effort in the first three months.,NEGATIVE,1.0,,1.0,1,1,1,NEGATIVE,1.0,1.0,2024-12-01T23:43:31.583,93312284,Maid Covered As Management Trainee
EmployerReviewRG,"Advice for management is ""PLEASE FIX YOUR ATTITUDE"" ","1. Never get appreciation. even we did a great job but the management always judge us and never say ""Thank You"" to the employess
2. The GM is so racist to other employees. Has bad attitude. 
3. The Management decision is unclear. They fired employees with no reason. 
4. Never get extra pay if they want us to stay late in the office or stanby event.
5. Even the employees on their day off, the management always disturb us to stay in the main job.",5,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,True,{'text': 'Administrator'},2,"{'id': 4375292, 'name': 'Jakarta Pusat', 'type': 'CITY'}",Team work. because all employees got same un normalpressure from management.,NEGATIVE,1.0,,1.0,1,1,2,NEGATIVE,1.0,1.0,2024-12-06T19:47:12.643,93471008,Not Good for the mental health 
EmployerReviewRG,Listen to your employees,"The French managerâ€™s poor treatment of employees is damaging, but thankfully the rest of the management helps balance things out somewhat.",2,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,"{'text': 'Pilot, First Officer'}",2,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Days off
Country
Work colleagues",NEUTRAL,5.0,,3.0,3,4,3,POSITIVE,3.0,4.0,2024-12-04T14:45:23.583,93405277,Ok to build up hours
EmployerReviewRG,,it's far from the city,0,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Management Trainee'},0,"{'id': 2696716, 'name': 'Pangandaran', 'type': 'CITY'}",good for building experience and friends,,5.0,,4.0,4,5,4,,4.0,4.0,2024-11-25T23:24:54.403,93172436,Good Opportunity
EmployerReviewRG,"Leave, resigned. If youâ€™re reading this, we hate you with passion. You piece of ðŸ’©",Extremely Toxic management. They will make your life hell regardless of your position in the company. The 2 at the very top are inhumane and have no sympathy for their employees. Not a single person in the company likes the 2 monkeys in Pangandaran. They have recently been asking employees to leave reviews of 5 stars on glass door.,8,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,"{'text': 'Pilot, First Officer'}",2,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Good flying experience, good crew",NEGATIVE,2.0,,1.0,1,1,1,NEGATIVE,1.0,2.0,2024-07-30T00:21:55.267,89611345,Itâ€™s all in the a management
EmployerReviewRG,The managing director need to go to the college again,"-Everyday is workday. 
-Everyday is torture and unpaid overwork.
-This companny will pay you with very low rate. 
-Always work underpressure without being appreciated. 
-2 hour sleep, after that WORK even when you're sick. 
-Working hard till you die.
-You must be standby for boss's personal schedule eventhough you're in day off
-The boss who likes to sland their employees so they can fired the employees without severance pay
-No parklaring/sertificate of employment even when you already work 5 year. 
-Employee = boss's servant. 
-There is no inventory items+vehicle, you should be use yours",11,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Experiences of Others'},1,"{'id': 2696716, 'name': 'Pangandaran', 'type': 'CITY'}","Nothing :), except if you experience in aviation",NEGATIVE,1.0,,1.0,1,1,1,NEGATIVE,1.0,1.0,2024-06-23T00:05:03.410,88498973,Bad place to work
EmployerReviewRG,"No more travel on Sundays 
Improve salary
","Low salary no improvement or update in past 15 years 
No benefits 
High risk",5,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Airline Pilot Capatain and Simulator Instructor'},1,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Not many, good place to start career and move on.",,1.0,,1.0,1,1,1,,1.0,2.0,2024-08-22T18:26:03.343,90340072,Hard Times 
EmployerReviewRG,,"Poor Management , no skills",5,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'First Officer'},0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Great crew, amazing flying, travel around the country",,0.0,,1.0,1,1,2,,1.0,2.0,2024-07-18T14:27:55.417,89283139,"Terrible management, nice crew "
EmployerReviewRG,"PLEASE LEAVE!!!! nobody likes you.
Try to finish your course at the Embry Riddle University that you left unattended. ","The management is not making the correct decisions at Susi Air, they rules the company with an iron hand and he doesn't listen to any advice. They are very rude to his employees so he is not liked by them and even less by his pilots.
Here I wrote some lines for future aviators who want to join Susi Air after 2020:
- THE MANAGEMENT IS ASKING CURRENT AND FORMER EMPLOYEES TO GIVE 5 STARS REVIEWS IN GLASSDOOR, SO DON'T TRUST ANY 5 STAR REVIEW AFTER 2020. ACTUALLY I WAS CONTACTED BY THE MANAGEMENT TO DO A 5 STAR REVIEW BUT I CONSIDERED UNFAIR AFTER ALL THAT IS GOING ON IN THE COMPANY.
- The management is appointing relatives in the Susi Air administration. So be careful they have eyes and ears everywhere. 
- The Training department is upgrading pilots who stall airplanes in the simulator right after take off, even one new captain stalled an airplane in the ILS, the Training standards have lowered considerably since the new management took over the pilot training department.
- You have to pay for all your caravan training, so is a Pay to fly scheme. the total cost is more than 8000 USD.
- There is no maintenance for the airplanes, Susi Air is barely following the engine manufacture standards for engine maintenance. They force you to pass notes to maintenance in a separate paper instead of logging in the maintenance logbook. As well some of the maintenance stuff that they called themselves engineers doesn't have any license to work as an aircraft engineer. By the way they sometimes hire maintenance personnel from Facebook....
- The safety department is totally corrupted by the management. If you do a safety report you will be invited to leave the company immediately. 
- If you are not a friend of the administration your life as a pilot will be as hell. No holidays approval, random schedule changes during days off, and other types of nightmares. 
- One pilot resigned before starting his training and he was asked for his passport for ""visa cancellation"", but it was not true. The real story is he was forced to pay his training bond to recover his passport. 
- They are hiring pilots with doubtful logbooks from doggy countries.
- If they give you an Indonesian pilot License you will be forced to give it back to the company.
- They pay you in Indonesian rupiah at an unfair rate. The rate they pay you is 13,500 IDR while the correct rate is 16,240 IDR.
- no health insurance
- very shady work visa where you have to leave the country every year and need to give your passport to the ""visas services guy"" in a fast food restaurant.
- All the pilots are leaving Susi Air to other aviation companies even a few resigned with no other job offer after suffering all I wrote before. 
- STAY AWAY FROM SUSI AIR !!!!",15,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,True,{'text': 'Captain'},4,"{'id': 2696716, 'name': 'Pangandaran', 'type': 'CITY'}",I am afraid they are NO pros in this company. Go to another company if you want to fly in Indonesia and build hours,NEGATIVE,1.0,,1.0,1,1,1,NEGATIVE,1.0,1.0,2024-05-03T07:02:15.680,86930751,Worst company to work for as a pilot!
EmployerReviewRG,Need to have more weekly and monthly meeting to have overview for each departement,demanding high standards of performance and work produced by employee which can lead to overwhelming task if individual is not able to manage their time.,0,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,True,{'text': 'Executive Director'},4,"{'id': 2696716, 'name': 'Pangandaran', 'type': 'CITY'}",employee are given a big room to develop as a professional.,,5.0,,4.0,5,5,5,POSITIVE,3.0,3.0,2024-05-28T02:36:42.350,87697902,Great opportunity for learning/ hands on solution driven team
EmployerReviewRG,,Quality life is not the best,1,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'First Officer'},0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Nice option if you want to start your career.,,0.0,,0.0,0,0,4,,0.0,0.0,2024-05-24T09:08:28.263,87611079,Nice place
EmployerReviewRG,,"Unstable location for living, you need to move around every month",0,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,True,{'text': 'First Officer'},1,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","You got to see the insides of Indonesia, all the beautiful places and friendly people",POSITIVE,5.0,,4.0,4,5,4,POSITIVE,4.0,5.0,2024-05-17T04:45:16.250,87375677,Perks
EmployerReviewRG,,"Tours away from home, but the holidays in Bali makes up for it.",0,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Captain'},6,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Great experience for any commercial pilot from anywhere in the world, one of a kind flying. Most probably the best flying you'll ever do in your career as a commercial pilot.",POSITIVE,5.0,,5.0,5,5,5,POSITIVE,5.0,5.0,2024-04-20T09:29:57.527,86510737,Great experience
EmployerReviewRG,"-Return to previous job as IT manager for well established French fashion company and leave aviation management to the professionals.
-Actually finish a course at Embry Riddle.","Everything. 
-You will be paid a dollar to IDR rate well below the current rate,
-You will fly 100 hours a month for very little pay. 
-You will be abused by management and controlled even in your off time.
-Maintenance is poor
-Safety reporting of issues is frowned upon
-Toxic workplace culture. If you say the wrong thing to the wrong person you will be fired.
-Company does not care about any of its employee's.",8,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Pilot'},20,"{'id': 2699322, 'name': 'Jati Selatan, Jakarta', 'type': 'CITY'}",The flying and the people you meet are something special.,NEGATIVE,1.0,,1.0,1,1,1,NEGATIVE,1.0,1.0,2024-02-28T03:24:44.193,84821967,DO NOT APPLY OR JOIN
EmployerReviewRG,"Family business cannot last long. Start manage your company professionally. Leave your aristocrat behavior and feudalism culture. Treat your employees better. Start to think how to make them satisfy of working in your company and consider to stay longer. Lower your lifestyle cost, stop ask the employee to reach the profit target only to afford your lifestyle while refuse to pay us properly. Don't hire bachelors only to be your server just because you have money to pay us (except you hire us as a server from the beginning, that would be more fair)","First of all, the salary didn't worth the efforts. Everyone who just entered this place felt like they were trapped, especially when they asked us to sign the contract immediately with zero knowledge of the real situation happen in this company. They assigned us as management trainee, but in reality we were asked to be the owner server. It has been a common jokes that we are management trainee doubles as a dishwasher, guest server, and luggage lifter.",17,"{'id': 545277, 'shortName': 'Susi Air', 'squareLogoUrl': 'https://media.glassdoor.com/sql/545277/susi-air-squarelogo-1585309224851.png'}",[],False,False,False,{'text': 'Management'},2,"{'id': 2696716, 'name': 'Pangandaran', 'type': 'CITY'}",Nothing! Only suffering and waiting for the day my contract end,NEGATIVE,1.0,,1.0,1,2,1,NEGATIVE,1.0,1.0,2023-09-20T01:01:43.747,80233873,"Oposite of its Great Name. Fresh graduate, STAY AWAY FROM THIS COMPANY!"
